ano,uf,ugrhi,municipio,codigo_ibge,populacao_urbana,atendimento_coleta_porc,atendimento_tratamento_porc,eficiencia,carga_poluidora_potencial,carga_poluidora_remancescente,ictem
2022,SP,13,Iacanga,3519105,10459,93,100,75,565,171,7.73
2022,SP,13,Ibaté,3519303,34401,100,100,70.2,1858,554,7.76
2022,SP,13,Ibitinga,3519600,58733,95,100,88,3172,520,9.93
2022,SP,13,Igaraçu do Tietê,3520004,24679,100,80,53.3,1333,764,5.970000000000001
2022,SP,13,Itaju,3522000,2864,100,100,10,155,139,3.65
2022,SP,13,Itapuí,3522901,13659,95,100,68.6,738,257,7.17
2022,SP,13,Itirapina,3523602,16784,87.5,100,86.3,906,222,7.92
2022,SP,13,Jaú,3525300,148665,100,100,93.9,8028,490,10
2022,SP,13,Lençóis Paulista,3526803,67974,100,100,64.5,3671,1303,7.49
2022,SP,13,Macatuba,3528007,16750,100,100,75,905,226,7.88
2022,SP,13,Mineiros do Tietê,3529807,12441,97,100,67.6,672,231,7.53
2022,SP,13,Nova Europa,3532900,10683,100,100,86.3,577,79,10
2022,SP,13,Pederneiras,3536703,44196,98.8,100,74.3,2387,635,7.95
2022,SP,13,Ribeirão Bonito,3542909,12367,96,0,0,668,668,1.44
2022,SP,13,São Carlos,3548906,246626,100,90.7,79.8,13318,3679,8.06
2022,SP,13,São Manuel,3550100,40287,100,100,73.9,2175,568,8
2022,SP,13,Tabatinga,3552700,14377,99.1,100,82.3,776,143,9.99
2022,SP,13,Torrinha,3554706,8594,98.5,100,76.4,464,115,8.370000000000001
2022,SP,13,Trabiju,3554755,1609,100,100,96.3,87,3,10
2022,SP,14,Angatuba,3502200,18477,86.6,100,77.6,998,327,7.17
2022,SP,14,Arandu,3503109,4802,83.3,100,81,259,84,7.44
2022,SP,14,Barão de Antonina,3505005,2164,99.1,100,81.7,117,22,9.79
2022,SP,14,Bernardino de Campos,3506300,10010,100,100,85.2,541,80,9.7
2022,SP,14,Bom Sucesso de Itararé,3507159,2731,80.6,100,38,147,102,5.2
2022,SP,14,Buri,3508009,16193,97.2,100,72.3,874,260,7.53
